,Energy [keV],Isotope,Half-life [s],Branching Ratio,Mass Fraction,Fraction Unc.
66,340.83409700000004,mLu177,13858560.0,0.0169,0.0152727146616,1.94379772833e-16
67,344.243267,Hf175,6048000.0,0.84,0.0707389760777,3.86957241831e-14
68,344.243267,mEu152,33521.76,0.023799999999999998,13.5634030288,0.00943599145393
69,344.243267,Eu152,426956980.0,0.265,0.00252526258809,8.90188019521e-22
70,344.243267,Cd117,8964.0,0.179,1.13270657335e+24,1.71635658152e+90
71,373.490357,Ba131,993600.0,0.1404,0.68227025291,1.48932218421e-08
72,396.63682700000004,Yb175,361583.99999999994,0.064,0.00439108173875,1.72047721985e-17
73,396.63682700000004,Kr79,126144.0,0.09300000000000001,6.69527706146,0.000266550598222
74,411.708947,mHo166,37848000000.0,0.11410000000000001,0.84437795801,3.9415281956e-12
75,411.708947,Eu152,426956980.0,0.02234,0.00065669444077,1.27828962131e-22
76,411.708947,Au198,232862.688,0.96,4.56725832396e-06,5.48381025181e-28
77,415.835837,Ge77,40680.0,0.218,1116.81252289,4521303.98517
78,432.522827,La140,144987.84,0.028999999999999998,0.0309921151096,1.93217501784e-13
79,432.522827,Hf175,6048000.0,0.01436,0.986344531549,4.75199482242e-09
80,444.18577700000003,Nd149,6220.8,0.0115,8.75374616383e+33,7.12347591215e+130
81,444.18577700000003,Ru103,3392064.0,0.0327,0.129497094584,6.25660105604e-12
82,444.18577700000003,Eu152,426956980.0,0.028210000000000002,0.00218984933231,4.06476297262e-21
83,482.40436700000004,Hf181,3662496.0,0.805,0.00565637381771,4.23013757141e-18
84,487.06954700000006,Ba131,993600.0,0.020870000000000003,194.807340329,6.43325334973
85,487.06954700000006,La140,144987.84,0.455,0.0311082330088,2.86675621491e-14
86,487.06954700000006,mZn71,14256.0,0.62,4.44864206788e+15,1.21936335792e+56
87,487.06954700000006,Te129,4176.0,0.014199999999999999,3.18144791637e+53,inf
88,496.579337,Ba131,993600.0,0.47000000000000003,0.666217559399,5.63947407262e-09
89,496.579337,Ru103,3392064.0,0.909,0.014589745278,3.79937960712e-16
90,531.209327,Nd147,948672.0,0.131,0.0391980876087,1.64141397224e-13
91,559.3798370000001,mIn114,4277664.0,0.032400000000000005,0.922970455722,2.88737836478e-09
92,559.3798370000001,As76,93121.92000000001,0.45,0.0272988223354,1.01503938877e-13
93,564.045017,As76,93121.92000000001,0.012,0.836707057556,1.09903640781e-07
94,564.045017,Pa232,113184.0,0.0368,0.00844992447234,9.40581738692e-16
